iter	Passed	Remaining
0	207	41291
1	261	25892
2	316	20807
3	370	18154
4	429	16765
5	499	16148
6	555	15327
7	616	14785
8	672	14264
9	727	13822
10	783	13470
11	845	13240
12	901	12964
13	960	12759
14	1016	12538
15	1074	12360
16	1130	12172
17	1183	11963
18	1241	11823
19	1295	11662
20	1349	11504
21	1409	11407
22	1482	11411
23	1540	11294
24	1592	11150
25	1651	11054
26	1709	10952
27	1767	10859
28	1823	10754
29	1879	10651
30	1934	10548
31	1993	10463
32	2047	10361
33	2102	10266
34	2159	10181
35	2217	10101
36	2270	10000
37	2326	9918
38	2380	9828
39	2442	9768
40	2499	9692
41	2554	9610
42	2609	9529
43	2664	9445
44	2717	9359
45	2768	9267
46	2821	9184
47	2877	9113
48	2931	9034
49	2989	8969
50	3044	8894
51	3095	8809
52	3149	8735
53	3201	8655
54	3255	8583
55	3310	8511
56	3361	8434
57	3417	8367
58	3474	8303
59	3530	8238
60	3584	8168
61	3643	8110
62	3703	8052
63	3755	7980
64	3803	7900
65	3855	7828
66	3913	7767
67	3968	7704
68	4027	7646
69	4077	7573
70	4132	7508
71	4190	7450
72	4242	7380
73	4295	7314
74	4349	7248
75	4397	7174
76	4453	7113
77	4513	7059
78	4569	6998
79	4622	6933
80	4675	6868
81	4729	6806
82	4784	6744
83	4841	6686
84	4892	6619
85	4944	6554
86	5001	6495
87	5054	6432
88	5109	6372
89	5164	6312
90	5218	6251
91	5273	6190
92	5325	6127
93	5382	6069
94	5437	6009
95	5492	5949
96	5545	5888
97	5598	5827
98	5650	5764
99	5707	5707
100	5760	5646
101	5815	5587
102	5884	5541
103	5933	5477
104	5982	5413
105	6035	5352
106	6089	5292
107	6142	5232
108	6195	5172
109	6248	5112
110	6299	5051
111	6355	4993
112	6406	4932
113	6459	4873
114	6516	4816
115	6566	4755
116	6619	4695
117	6675	4639
118	6698	4559
119	6718	4478
120	6739	4399
121	6758	4320
122	6777	4242
123	6794	4164
124	6812	4087
125	6828	4010
126	6844	3934
127	6860	3859
128	6876	3784
129	6891	3710
130	6907	3638
131	6924	3566
132	6939	3496
133	6955	3425
134	6971	3356
135	6987	3288
136	7003	3220
137	7020	3154
138	7038	3088
139	7055	3023
140	7072	2959
141	7088	2895
142	7105	2832
143	7120	2769
144	7137	2707
145	7153	2645
146	7169	2584
147	7185	2524
148	7201	2464
149	7218	2406
150	7235	2348
151	7251	2290
152	7268	2232
153	7284	2175
154	7301	2119
155	7317	2063
156	7334	2008
157	7350	1953
158	7366	1899
159	7383	1845
160	7398	1792
161	7413	1739
162	7428	1686
163	7443	1633
164	7458	1582
165	7473	1530
166	7488	1479
167	7503	1429
168	7518	1379
169	7533	1329
170	7548	1280
171	7564	1231
172	7578	1182
173	7594	1134
174	7608	1086
175	7622	1039
176	7636	992
177	7652	945
178	7667	899
179	7682	853
180	7698	808
181	7713	762
182	7729	718
183	7745	673
184	7761	629
185	7776	585
186	7791	541
187	7806	498
188	7821	455
189	7836	412
190	7851	369
191	7866	327
192	7882	285
193	7897	244
194	7912	202
195	7927	161
196	7941	120
197	7956	80
198	7972	40
199	7987	0
