iter	Passed	Remaining
0	192	38332
1	239	23708
2	275	18107
3	307	15086
4	332	12969
5	352	11412
6	371	10251
7	389	9353
8	406	8636
9	423	8044
10	440	7560
11	458	7178
12	477	6867
13	495	6584
14	512	6325
15	529	6093
16	547	5890
17	562	5688
18	579	5524
19	596	5367
20	612	5219
21	628	5083
22	644	4961
23	660	4847
24	677	4745
25	695	4654
26	711	4560
27	729	4481
28	745	4397
29	762	4321
30	778	4246
31	795	4178
32	812	4111
33	828	4046
34	845	3984
35	861	3925
36	877	3865
37	893	3810
38	910	3757
39	926	3707
40	942	3656
41	959	3610
42	975	3561
43	991	3515
44	1007	3471
45	1024	3429
46	1041	3391
47	1059	3353
48	1076	3315
49	1093	3280
50	1112	3251
51	1134	3229
52	1153	3197
53	1170	3163
54	1186	3128
55	1204	3096
56	1219	3059
57	1234	3022
58	1251	2990
59	1268	2958
60	1284	2928
61	1301	2895
62	1316	2863
63	1333	2833
64	1347	2798
65	1364	2769
66	1383	2745
67	1400	2719
68	1417	2691
69	1433	2661
70	1449	2632
71	1465	2604
72	1481	2576
73	1496	2548
74	1512	2521
75	1527	2492
76	1543	2465
77	1558	2437
78	1574	2410
79	1589	2384
80	1605	2358
81	1621	2333
82	1638	2309
83	1654	2284
84	1669	2258
85	1685	2234
86	1701	2210
87	1718	2186
88	1734	2163
89	1750	2139
90	1766	2115
91	1781	2090
92	1796	2066
93	1811	2042
94	1827	2020
95	1844	1998
96	1860	1975
97	1876	1953
98	1892	1931
99	1908	1908
100	1923	1885
101	1939	1863
102	1955	1841
103	1970	1819
104	1985	1796
105	2001	1774
106	2016	1752
107	2031	1730
108	2047	1709
109	2061	1687
110	2077	1665
111	2093	1644
112	2109	1623
113	2125	1603
114	2140	1582
115	2155	1560
116	2170	1540
117	2186	1519
118	2201	1498
119	2216	1477
120	2232	1457
121	2247	1436
122	2262	1416
123	2277	1395
124	2292	1375
125	2308	1355
126	2323	1335
127	2338	1315
128	2354	1295
129	2370	1276
130	2385	1256
131	2401	1236
132	2417	1217
133	2433	1198
134	2450	1179
135	2468	1161
136	2484	1142
137	2504	1124
138	2528	1109
139	2545	1091
140	2562	1072
141	2579	1053
142	2595	1034
143	2611	1015
144	2627	996
145	2643	977
146	2659	958
147	2674	939
148	2690	920
149	2706	902
150	2722	883
151	2736	864
152	2752	845
153	2767	826
154	2783	808
155	2799	789
156	2815	771
157	2831	752
158	2848	734
159	2865	716
160	2881	698
161	2897	679
162	2913	661
163	2929	643
164	2944	624
165	2960	606
166	2975	588
167	2990	569
168	3005	551
169	3021	533
170	3036	514
171	3051	496
172	3066	478
173	3082	460
174	3096	442
175	3111	424
176	3125	406
177	3141	388
178	3156	370
179	3171	352
180	3187	334
181	3203	316
182	3218	298
183	3233	281
184	3248	263
185	3263	245
186	3278	227
187	3293	210
188	3308	192
189	3323	174
190	3338	157
191	3353	139
192	3368	122
193	3384	104
194	3400	87
195	3415	69
196	3430	52
197	3445	34
198	3460	17
199	3476	0
